Expr1	CAS	Systematic Name	Synonyms	Molecular Weight in kg/kmol	Formula	Boiling Point in K	Melting Point in K	Flash Point in K	Vapor Pressure in kPa	Viscosity in kg/m-s	Thermal Conductivity in J/(m-s-K)	Surface Tension in kg/s2	Density in kg/m3	Oral Rat LD50 in mg/kg	Fathead Minnow LC50 in mg/L	Boiling Point Source	Melting Point Source	Flash Point Source	Vapor Pressure Source	Viscosity Source	Thermal Conductivity Source	Surface Tension Source	Density Source	Oral Rat LD50 Source	Fathead Minnow LC50 Source	g_ethanol	g_acetone	g_diethyl_ether	g_water	g_benzene	g_cis_2_heptene	g_n_propyl_chloride	g_n_heptadecane	g_n_propylamine	g_dimethyl_disulfide	OSHA_TWA	GWP	PCO	OD	AP	antoineConstantA	antoineConstantB	antoineConstantC	antoineTmin	antoineTmax	antoineSource	Est Tc in K	Est Pc in bar	Est omega
7	79-09-4	propanoic acid	4-02-00-00695 (Beilstein Handbook Reference);557-28-8 (zinc salt);784139-72-6;79-09-4;AI3-04167;Acide propionique;Acide propionique [French];BRN 0506071;C3 acid;CCRIS 6096;Carboxyethane;Caswell No. 707;EINECS 201-176-3;EPA Pesticide Chemical Code 077702;Ethanecarboxylic acid;Ethylformic acid;FEMA No. 2924;FEMA Number 2924;HSDB 1192;Kyselina propionova;Kyselina propionova [Czech];Luprosil;Metacetonic acid;Methyl acetic acid;Methylacetic acid;Monoprop;Propanoic acid;Propionic acid;Propionic acid (natural);Propionic acid [UN1848]  [Corrosive];Propionic acid grain preserver;Propionoic acid;Prozoin;Pseudoacetic acid;Sentry grain preserver;Tenox P grain preservative;UN1848;UNII-JHU490RVYR;	74.08	C3H6O2	414.25	252.45	330.85	4.71E-01	1.03e-03	0.14	0.02	1020.00	2598.72	541.55	Exp	Exp	Exp	Exp	Exp	Exp	Exp	Exp	Exp	Pred-HC	0.49	0.99	1.61	3.75	2.40	3.92	2.01	26.25	0.79	0.24	30.00		0.33			6.79	1727.17	-53.63	252.45	604.00	Yaws	646.85	47.93	0.57
7	79-10-7	prop-2-enoic acid	10192-85-5 (potassium salt);10604-69-0 (ammonium salt);14643-87-9 (zinc salt);15743-20-1 (aluminum salt);2-Propenoic acid;4-02-00-01455 (Beilstein Handbook Reference);51366-35-9 (calcium[2:1] salt.dihydrate);55488-18-1 (iron(3+) salt);55927-87-2;5651-26-3 (silver salt);5698-98-6 (magnesium salt);58197-53-8 (cobalt(2+) salt);6292-01-9 (calcium[2:1] salt);7446-81-3 (hydrochloride salt);79-10-7;AI3-15717;Acide acrylique;Acide acrylique [French];Acido acrilio;Acido acrilio [Spanish];Acroleic acid;Acrylic acid;Acrylic acid, glacial;Acrylic acid, inhibited;Acrylic acid, inhibited [UN2218]  [Corrosive];BRN 0635743;CCRIS 737;Caswell No. 009A;EINECS 201-177-9;Ethylenecarboxylic acid;Glacial acrylic acid;HSDB 1421;Kyselina akrylova;Kyselina akrylova [Czech];NSC 4765;Propene acid;Propenoic acid;RCRA waste no. U008;RCRA waste number U008;UN2218;UNII-J94PBK7X8S;Vinylformic acid;	72.06	C3H4O2	414.35	286.65	341.15	5.29E-01	1.16e-03	0.15	0.02	1050.00	33.48	57.11	Exp	Exp	Exp	Exp	Exp	Exp	Pred-HC	Exp	Exp	Pred-HC	0.89	1.62	3.82	0.53	4.03	15.94	5.03	712.06	2.23	0.49	6.00		3.19			6.95	1817.73	-46.54	286.65	615.00	Yaws	644.07	50.91	0.52
7	79-20-9	methyl ethanoate	79-20-9;Acetate de methyle;Acetate de methyle [French];Acetic acid, methyl ester;CCRIS 5846;Devoton;EINECS 201-185-2;Ethyl ester of monoacetic acid;FEMA No. 2676;FEMA Number 2676;HSDB 95;Methyl acetate;Methyl acetate (natural);Methyl acetate [UN1231]  [Flammable liquid];Methyl acetic ester;Methyl ethanoate;Methylacetaat;Methylacetaat [Dutch];Methylacetat;Methylacetat [German];Methyle (acetate de);Methyle (acetate de) [French];Methylester kiseliny octove;Methylester kiseliny octove [Czech];Metile (acetato di);Metile (acetato di) [Italian];NSC 405071;Octan metylu;Octan metylu [Polish];Tereton;UN1231;UNII-W684QT396F;	74.08	C3H6O2	329.95	175.15	279.75	2.88E+01	3.6e-04	0.15	0.02	910.00	3133.46	398.80	Exp	Exp	Pred-HC	Exp	Exp	Exp	Exp	Exp	Pred-HC	Exp	3.09	1.18	1.78	8.08	1.89	4.65	1.21	30.05	1.08	0.57	610.00		0.01			6.40	1276.28	-39.99	175.15	506.80	Yaws	480.37	41.84	0.32
7	79-22-1	methyl carbonochloridate	4-03-00-00023 (Beilstein Handbook Reference);79-22-1;BRN 0605437;Carbonochloridic acid, methyl ester;Chlorameisensaeure methylester;Chlorameisensaeure methylester [German];Chlorocarbonate de methyle;Chlorocarbonate de methyle [French];Chlorocarbonic acid methyl ester;Chloroformiate de methyle;Chloroformiate de methyle [French];Chloroformic acid methyl ester;EINECS 201-187-3;Formic acid, chloro-, methyl ester;HSDB 1116;K-Stoff;MCF;Methoxycarbonyl chloride;Methyl chlorocarbonate;Methyl chloroformate;Methyl chloroformate [UN1238]  [Poison];Methylchloorformiaat;Methylchloorformiaat [Dutch];Methylester kyseliny chlormravenci;Methylester kyseliny chlormravenci [Czech];Methylester kyseliny chloruhlicite;Methylester kyseliny chloruhlicite [Czech];Metilcloroformiato;Metilcloroformiato [Italian];RCRA waste no. U156;RCRA waste number U156;TL 438;UN1238;	94.50	C2H3O2Cl	343.65	212.15	280.95	4.84E+00	7.6e-04	0.15	0.02	1240.00	60.04	147.18	Exp	Exp	Exp	Pred-HC	Pred-HC	Pred-HC	Pred-HC	Exp	Exp	Pred-HC	0.66	0.94	1.37	2.29	1.01	1.55	1.11	5.55	1.00	0.91						6.57	1364.54	-45.27	192.00	525.00	Yaws	525.63	52.91	0.35
7	79-24-3	1-nitroethane	79-24-3;AI3-00110;CCRIS 3088;EINECS 201-188-9;Ethane, nitro-;HSDB 105;NSC 8800;Nitroetan;Nitroetan [Polish];Nitroethane;Nitroethane [UN2842]  [Flammable liquid];UN2842;	75.07	C2H5NO2	387.15	183.65	305.95	2.77E+00	6.4e-04	0.17	0.03	1010.00	1100.33	86.32	Exp	Exp	Exp	Exp	Exp	Exp	Exp	Exp	Exp	Pred-HC	5.84	0.66	1.68	2.28	1.91	6.59	1.99	48.21	1.19	0.56	310.00					6.65	1645.14	-33.03	183.63	593.00	Yaws	587.76	50.58	0.37
7	79-27-6	1,1,2,2-tetrakis(bromanyl)ethane	1,1,2,2-Tetrabromaethan;1,1,2,2-Tetrabromaethan [German];1,1,2,2-Tetrabromoetano;1,1,2,2-Tetrabromoetano [Italian];1,1,2,2-Tetrabromoethane;1,1,2,2-Tetrabroomethaan;1,1,2,2-Tetrabroomethaan [Dutch];4-01-00-00162 (Beilstein Handbook Reference);79-27-6;AI3-08850;Acetylene tetrabromide;BRN 1098321;CCRIS 1272;EINECS 201-191-5;Ethane, 1,1,2,2-tetrabromo-;HSDB 1600;Muthmann's liquid;NSC 406889;TBE;Tetrabromoacetylene;s-Tetrabromoethane;sym-Tetrabromoethane;	345.65	C2H2Br4	516.65	273.15	370.15	2.67E-03	9.68e-03	0.08	0.04	2970.00	1201.22	1.11	Exp	Exp	Exp	Exp	Exp	Exp	Exp	Exp	Exp	Pred-HC	6.60	0.85	2.08	1.59	1.04	4.77	1.47	78.13	1.22	0.88	14.00					5.85	1559.99	-110.88	287.15	824.00	Yaws	731.97	105.24	0.33
7	79-29-8	2,3-dimethylbutane	1,1,2,2-Tetramethylethane;2,3-Dimethylbutane;2,3-Dimethylbutane [UN2457]  [Flammable liquid];79-29-8;Biisopropyl;Butane, 2,3-dimethyl-;CCRIS 6020;Diisopropyl;EINECS 201-193-6;HSDB 76;NSC 24837;UN2457;	86.18	C6H14	331.05	144.35	238.97	3.13E+01	3.6e-04	0.10	0.01	660.00	6388.15	5.18	Exp	Exp	Pred-HC	Exp	Exp	Exp	Exp	Exp	Pred-HC	Pred-HC	23.53	6.82	1.16	1638.09	1.72	1.02	1.50	0.52	2.66	6.26	1770.00		0.25			6.11	1220.00	-34.19	145.19	499.98	Yaws	497.27	32.17	0.26
7	79-30-1	2-methylpropanoyl chloride	120126-85-4;2-Methylpropanoyl chloride;2-Methylpropionyl chloride;79-30-1;Chloro isopropyl ketone;Dimethylacetyl chloride;EINECS 201-194-1;Isobutanoyl chloride;Isobutyric acid chloride;Isobutyroyl chloride;Isobutyryl chloride;Isobutyryl chloride [UN2395]  [Flammable liquid];Propanoyl chloride, 2-methyl-;UN2395;alpha-Methylpropionyl chloride;	106.55	C4H7OCl	365.15	183.15	274.25	5.78E+00	6.9e-04	0.14	0.02	1030.00	655.67	43.95	Exp	Exp	Exp	Pred-HC	Pred-HC	Pred-Cranium	Pred-HC	Exp	Pred-HC	Pred-HC	1.54	1.12	1.14	5.20	1.26	1.84	0.69	2.55	0.95	0.98												563.20	38.13	0.33
7	79-31-2	2-methylpropanoic acid	19455-20-0 (potassium salt);2-Methylpropanoic acid;2-Methylpropionic acid;22228-82-6 (ammonium salt);4-02-00-00843 (Beilstein Handbook Reference);533-90-4 (calcium salt);79-31-2;996-30-5 (hydrochloride salt);AI3-24260;Acetic acid, dimethyl-;BRN 0635770;Caswell No. 503AA;Cenex RP b2;Dimethylacetic acid;EINECS 201-195-7;EPA Pesticide Chemical Code 101502;FEMA No. 2222;HSDB 5228;Iso-butyric acid;Isobutanoic acid;Isobutyric acid;Isobutyric acid (natural);Isobutyric acid [UN2529]  [Flammable liquid];Isopropylformic acid;Kyselina isomaselna;Kyselina isomaselna [Czech];Methylpropanoic acid, 2-;NSC 62780;Propanoic acid, 2-methyl-;Propionic acid, 2-methyl-;Tenox IBP-2;Tenox IBP-2 Grain Pr.;UN2529;UNII-8LL210O1U0;alpha-Methylpropanoic acid;alpha-Methylpropionic acid;	88.11	C4H8O2	427.55	227.15	331.35	2.41E-01	1.23e-03	0.14	0.02	980.00	266.12	375.44	Exp	Exp	Exp	Exp	Exp	Exp	Exp	Exp	Exp	Pred-HC	0.54	1.02	1.28	4.83	2.04	2.80	1.69	12.77	0.73	0.27			0.32			6.72	1694.66	-68.86	243.05	605.00	Yaws	609.88	42.46	0.56
7	79-34-5	1,1,2,2-tetrakis(chloranyl)ethane	1,1,2,2-Czterochloroetan;1,1,2,2-Czterochloroetan [Polish];1,1,2,2-Tetrachloorethaan;1,1,2,2-Tetrachloorethaan [Dutch];1,1,2,2-Tetrachloraethan;1,1,2,2-Tetrachloraethan [German];1,1,2,2-Tetrachlorethane;1,1,2,2-Tetrachlorethane [French];1,1,2,2-Tetrachloroethane;1,1,2,2-Tetracloroetano;1,1,2,2-Tetracloroetano [Italian];1,1-Dichloro-2,2-dichloroethane;4-01-00-00144 (Beilstein Handbook Reference);79-34-5;AI3-04597;Acetosal;Acetylene tetrachloride;BRN 0969206;Bonoform;CCRIS 578;Caswell No. 826;Cellon;Dichloro-2,2-dichloroethane;EINECS 201-197-8;EPA Pesticide Chemical Code 078601;Ethane, 1,1,2,2-tetrachloro-;HSDB 123;NCI-C03554;NSC 60912;RCRA waste no. U209;RCRA waste number U209;TCE (ambiguous);Tetrachlorethane;Tetrachloroethane;Tetrachloroethane (VAN);Tetrachloroethane, 1,1,2,2-;Tetrachlorure d'acetylene;Tetrachlorure d'acetylene [French];Westron;s-Tetrachloroethane;	167.85	C2H2Cl4	419.65	229.35	319.88	6.16E-01	1.57e-03	0.11	0.03	1590.00	199.94	20.37	Exp	Exp	Pred-HC	Exp	Exp	Exp	Exp	Exp	Exp	Exp	6.69	0.41	0.87	1.47	0.80	3.54	1.25	21.05	1.08	0.98	35.00					6.03	1378.87	-76.06	229.35	645.00	Yaws	639.83	43.90	0.25
