Acetone	Cyclohexane
0.5145	2.12688
0.6206	1.635075
0.7082	1.2680498
0.8029	0.9227274
0.8965	0.64133458
	
acetone	propyl propionate
x1	Viscosity in cp
0.1139	0.5876081
0.2335	0.54859526
0.3062	0.525133
0.414	0.49127608
0.5275	0.45383994
0.5916	0.4334574
0.7171	0.39306098
0.8056	0.36350425
0.9271	0.32441075
	
methyl ethyl ketone	propyl propionate
x1	Viscosity in cp
0.1074	0.59426601
0.2725	0.552636
0.3326	0.53795046
0.3934	0.5223373
0.4885	0.4990141
0.5907	0.47385968
0.6832	0.45101896
0.7824	0.427042
0.8867	0.40409564
	
methyl ethyl ketone	ethyl acetate
x1	Viscosity in cp
0.1389	0.41471054
0.2272	0.41047736
0.3167	0.40449488
0.3977	0.40052194
0.4882	0.39622338
0.5812	0.39160713
0.6875	0.3867474
0.7766	0.3825588
0.885	0.37795134
	
ethyl acetate	1-chlorohexane
x1	Viscosity in cp
0.1012	0.65056992
0.2179	0.6123771
0.3239	0.58004004
0.4022	0.55771695
0.4898	0.5337024
0.596	0.50647044
0.709	0.47953696
0.7947	0.46125695
0.8896	0.4412996
	
ethyl acetate	1-chlorohexadecane
x1	Viscosity in cp
0.1189	4.487532
0.2139	3.809598
0.351	2.9512808
0.4035	2.6492746
0.5154	2.0791712
0.6163	1.624896
0.7005	1.2902292
0.8046	0.9330698
0.8902	0.68231316
	
propyl propionate	1-chlorohexane
x1	Viscosity in cp
0.1046	0.6745198
0.2146	0.66578283
0.3112	0.65827761
0.4154	0.65234325
0.5138	0.64411291
0.6186	0.6383092
0.7033	0.63353472
0.7966	0.6290178
0.8925	0.6266509
	
propyl propionate	1-chlorohexadecane
x1	Viscosity in cp
0.1119	4.5788446
0.2107	3.9046808
0.3075	3.4829914
0.429	2.6435625
0.503	2.287215
0.6009	1.8632152
0.6978	1.4855412
0.8019	1.1567774
0.8902	0.8922625
	
acetone	ethyl acetate
x1	Viscosity in cp
0.122	0.40828131
0.2353	0.39766638
0.3453	0.38153646
0.5082	0.36124422
0.6074	0.35070132
0.7285	0.3342691
0.8026	0.32536732
0.9001	0.31420612
