Acetone	Cyclohexane
x1	density in kg/m3
0.7947	885.5
0.8896	889
	
ethyl acetate	1-chlorohexadecane
x1	density in kg/m3
0.1189	861
0.2139	861.9
0.351	863.2
0.4035	863.8
0.5154	865.6
0.6163	868
0.7005	870.6
0.8046	875.3
0.8902	881.2
	
propyl propionate	1-chlorohexane
x1	density in kg/m3
0.1046	872.6
0.2146	872.7
0.3112	872.7
0.4154	872.7
0.5138	872.9
0.6186	873.2
0.7033	873.6
0.7966	874
0.8925	874.6
	
propyl propionate	1-chlorohexadecane
x1	density in kg/m3
0.1119	860.2
0.2107	861.2
0.3075	861.7
0.429	862.5
0.503	863.1
0.6009	864.2
0.6978	865.7
0.8019	867.8
0.8902	870.5
	
acetone	ethyl acetate
x1	density in kg/m3
0.122	884.3
0.2353	873.8
0.3453	863.4
0.5082	846.6
0.6074	835.6
0.7285	821.3
0.8026	812.2
0.9001	799.1
